,Open,High,Low,Close,Volume,Dividends,Stock Splits,Daily Return,MA20,MA50
2025-09-17,1494.03,1503.68,1491.17,1499.45,4795698,0.0,0.0,0.73,1474.6,
2025-09-18,1526.63,1531.55,1515.3,1517.37,9331945,0.0,0.0,1.2,1476.79,
2025-09-19,1521.31,1527.91,1497.18,1516.98,12988129,0.0,0.0,-0.03,1478.94,
2025-09-22,1460.34,1491.86,1459.65,1476.89,15655204,0.0,0.0,-2.64,1479.54,
2025-09-23,1470.49,1490.19,1470.49,1474.92,9832164,0.0,0.0,-0.13,1477.83,
2025-09-24,1464.78,1474.13,1460.34,1472.06,4937004,0.0,0.0,-0.19,1476.11,
2025-09-25,1466.55,1480.04,1454.24,1462.41,9491867,0.0,0.0,-0.66,1475.35,
2025-09-26,1452.76,1456.4,1419.47,1427.05,8597058,0.0,0.0,-2.42,1474.33,
2025-09-29,1437.99,1442.91,1414.84,1420.06,10513117,0.0,0.0,-0.49,1471.5,
2025-09-30,1421.24,1430.3,1416.42,1420.06,7556305,0.0,0.0,0.0,1468.7,
2025-10-01,1424.2,1427.64,1405.88,1424.0,6250692,0.0,0.0,0.28,1467.06,
2025-10-03,1417.3,1426.46,1411.59,1424.79,6877533,0.0,0.0,0.06,1466.25,
2025-10-06,1424.79,1456.5,1420.55,1453.74,4630590,0.0,0.0,2.03,1467.79,
2025-10-07,1455.42,1460.54,1432.08,1436.51,5570320,0.0,0.0,-1.19,1469.06,
2025-10-08,1435.03,1475.41,1433.06,1472.46,4657192,0.0,0.0,2.5,1468.6,1458.12
2025-10-09,1479.35,1491.17,1464.58,1486.54,7028753,0.0,0.0,0.96,1467.45,1457.99
2025-10-10,1487.23,1498.76,1476.2,1492.06,3738353,0.0,0.0,0.37,1467.71,1458.02
2025-10-13,1474.43,1482.01,1461.03,1470.69,5859355,0.0,0.0,-1.43,1466.11,1457.51
2025-10-14,1476.4,1491.57,1464.09,1467.44,5600789,0.0,0.0,-0.22,1465.2,1457.13
2025-10-15,1461.53,1466.15,1445.37,1452.17,6986098,0.0,0.0,-1.04,1463.38,1457.23
2025-10-16,1451.68,1452.27,1438.48,1449.31,8005748,0.0,0.0,-0.2,1460.88,1457.05
2025-10-17,1432.96,1436.41,1412.38,1419.37,16959378,0.0,0.0,-2.07,1455.98,1456.67
2025-10-20,1431.78,1444.88,1428.14,1438.87,6994246,0.0,0.0,1.37,1452.07,1457.15
2025-10-21,1455.71,1463.59,1447.84,1450.2,1698704,0.0,0.0,0.79,1450.74,1457.85
2025-10-23,1487.23,1522.69,1483.29,1505.45,20358624,0.0,0.0,3.81,1452.26,1459.92
2025-10-24,1516.29,1519.73,1495.11,1502.4,8652257,0.0,0.0,-0.2,1453.78,1461.84
2025-10-27,1510.0,1515.3,1498.1,1504.5,7273211,23.0,0.0,0.14,1455.88,1463.87
2025-10-28,1499.7,1506.5,1490.5,1500.2,8211019,0.0,0.0,-0.29,1459.54,1465.78
2025-10-29,1500.2,1520.2,1496.9,1510.4,4884976,0.0,0.0,0.68,1464.06,1467.47
2025-10-30,1507.0,1508.2,1489.1,1493.8,5608867,0.0,0.0,-1.1,1467.75,1469.06
2025-10-31,1490.0,1497.1,1480.7,1482.3,4819814,0.0,0.0,-0.77,1470.66,1470.34
2025-11-03,1482.3,1491.4,1474.2,1485.5,5470600,0.0,0.0,0.22,1473.7,1470.58
2025-11-04,1479.7,1481.9,1462.9,1467.9,8691330,0.0,0.0,-1.18,1474.4,1470.46
2025-11-05,1467.9,1467.9,1467.9,1467.9,0,0.0,0.0,0.0,1475.97,1470.52
2025-11-06,1478.6,1483.0,1461.9,1466.7,7944752,0.0,0.0,-0.08,1475.68,1469.67
2025-11-07,1470.0,1480.9,1449.1,1476.8,8765759,0.0,0.0,0.69,1475.2,1469.07
2025-11-10,1490.1,1520.0,1490.0,1513.5,9787975,0.0,0.0,2.49,1476.27,1469.8
2025-11-11,1525.0,1533.4,1511.1,1530.3,13692989,0.0,0.0,1.11,1479.25,1471.45
2025-11-12,1540.0,1559.2,1538.1,1551.7,14635417,0.0,0.0,1.4,1483.46,1472.95
2025-11-13,1557.1,1557.5,1530.3,1541.8,19655689,0.0,0.0,-0.64,1487.95,1474.26
2025-11-14,1520.0,1530.0,1488.8,1502.8,9739549,0.0,0.0,-2.53,1490.62,1475.18
2025-11-17,1496.0,1510.2,1492.5,1507.6,7910354,0.0,0.0,0.32,1495.03,1476.52
2025-11-18,1506.0,1506.0,1483.2,1486.4,7525119,0.0,0.0,-1.41,1497.41,1477.79
2025-11-19,1490.5,1543.0,1490.5,1541.1,10981126,0.0,0.0,3.68,1501.95,1480.39
2025-11-20,1555.0,1555.0,1534.0,1536.5,7387584,0.0,0.0,-0.3,1503.51,1481.48
2025-11-21,1531.0,1551.5,1526.3,1545.0,9186302,0.0,0.0,0.55,1505.64,1482.19
2025-11-24,1563.6,1585.0,1541.0,1548.0,19270381,0.0,0.0,0.19,1507.81,1483.41
2025-11-25,1549.0,1550.6,1525.9,1530.6,8107952,0.0,0.0,-1.12,1509.33,1483.97
2025-11-26,1532.1,1560.3,1532.1,1557.9,7575038,0.0,0.0,1.78,1511.71,1485.42
2025-11-27,1564.0,1574.3,1552.2,1566.4,7552252,0.0,0.0,0.55,1515.34,1486.98
2025-11-28,1565.0,1568.4,1557.0,1560.1,4453221,0.0,0.0,-0.4,1519.23,1488.19
2025-12-01,1562.5,1574.0,1556.0,1564.0,5341800,0.0,0.0,0.25,1523.15,1489.12
2025-12-02,1567.0,1579.9,1556.1,1561.0,6335969,0.0,0.0,-0.19,1527.81,1490.0
2025-12-03,1555.1,1586.0,1554.1,1578.7,12895312,0.0,0.0,1.13,1533.35,1492.04
2025-12-04,1568.0,1599.0,1568.0,1597.6,12609619,0.0,0.0,1.2,1539.89,1494.49
2025-12-05,1610.0,1631.8,1600.0,1616.2,10344725,0.0,0.0,1.16,1546.86,1497.38
2025-12-08,1617.1,1630.0,1600.2,1610.8,7550413,0.0,0.0,-0.33,1551.72,1500.34
2025-12-09,1601.2,1606.9,1582.4,1599.0,6957599,0.0,0.0,-0.73,1555.16,1503.78
2025-12-10,1608.0,1608.0,1582.8,1584.8,5116140,0.0,0.0,-0.89,1556.82,1507.08
2025-12-11,1598.0,1607.4,1580.5,1598.0,5159319,0.0,0.0,0.83,1559.62,1510.64
2025-12-12,1601.4,1601.8,1582.6,1598.2,4633912,0.0,0.0,0.01,1564.39,1514.12
2025-12-15,1585.0,1610.8,1585.0,1606.8,4190558,0.0,0.0,0.54,1569.35,1517.76
2025-12-16,1600.0,1603.0,1585.6,1592.9,5499258,0.0,0.0,-0.87,1574.68,1520.54
2025-12-17,1587.2,1606.9,1586.0,1602.0,4817628,0.0,0.0,0.57,1577.72,1523.85
2025-12-18,1610.5,1630.0,1606.7,1626.8,6577293,0.0,0.0,1.55,1582.24,1526.94
2025-12-19,1650.0,1654.9,1629.8,1638.7,13149023,0.0,0.0,0.73,1586.92,1529.98
2025-12-22,1664.0,1693.2,1664.0,1689.6,23098923,0.0,0.0,3.11,1594.0,1533.93
2025-12-23,1679.0,1679.0,1656.4,1668.3,6593060,0.0,0.0,-1.26,1600.89,1537.89
2025-12-24,1661.0,1667.6,1652.5,1663.4,4271167,0.0,0.0,-0.29,1606.17,1541.81
2025-12-26,1663.4,1668.8,1651.7,1656.1,2006491,0.0,0.0,-0.44,1610.65,1545.88
